MatchId, BotType, Result, TimeMs, TotalClicks
510, ? , DEFEAT, 0, 7
511, ? , DEFEAT, 0, 4
512, ? , DEFEAT, 0, 4
513, ? , DEFEAT, 0, 6
514, ? , DEFEAT, 0, 1
515, ? , DEFEAT, 0, 2
516, ? , DEFEAT, 0, 5
517, ? , DEFEAT, 0, 2
518, ? , DEFEAT, 0, 3
519, ? , DEFEAT, 0, 2
520, ? , DEFEAT, 0, 2
521, ? , DEFEAT, 0, 1
522, ? , DEFEAT, 0, 5
523, ? , DEFEAT, 0, 5
524, ? , VICTORY, 0, 2
525, ? , DEFEAT, 0, 3
526, ? , DEFEAT, 0, 2
527, ? , DEFEAT, 0, 3
528, ? , DEFEAT, 0, 3
529, ? , DEFEAT, 0, 4
530, ? , DEFEAT, 0, 5
531, ? , DEFEAT, 0, 3
532, ? , DEFEAT, 0, 5
533, ? , DEFEAT, 0, 5
534, ? , DEFEAT, 0, 1
535, ? , DEFEAT, 0, 4
536, ? , DEFEAT, 0, 2
537, ? , DEFEAT, 0, 2
538, ? , DEFEAT, 0, 5
539, ? , DEFEAT, 0, 2
540, ? , VICTORY, 0, 8
541, ? , DEFEAT, 0, 2
542, ? , DEFEAT, 0, 5
543, ? , DEFEAT, 0, 2
544, ? , DEFEAT, 0, 5
545, ? , DEFEAT, 0, 2
546, ? , DEFEAT, 0, 6
547, ? , DEFEAT, 0, 8
548, ? , DEFEAT, 0, 6
549, ? , DEFEAT, 0, 7
550, ? , DEFEAT, 0, 7
551, ? , DEFEAT, 0, 4
552, ? , DEFEAT, 0, 7
553, ? , DEFEAT, 0, 4
554, ? , DEFEAT, 0, 2
555, ? , DEFEAT, 0, 4
556, ? , DEFEAT, 0, 9
557, ? , DEFEAT, 0, 3
558, ? , DEFEAT, 0, 1
559, ? , DEFEAT, 0, 6
560, ? , DEFEAT, 0, 5
561, ? , DEFEAT, 0, 3
562, ? , DEFEAT, 0, 1
563, ? , DEFEAT, 0, 4
564, ? , DEFEAT, 0, 3
565, ? , DEFEAT, 0, 3
566, ? , DEFEAT, 0, 3
567, ? , DEFEAT, 0, 5
568, ? , DEFEAT, 0, 3
569, ? , DEFEAT, 0, 2
570, ? , DEFEAT, 0, 3
571, ? , DEFEAT, 0, 8
572, ? , DEFEAT, 0, 10
573, ? , DEFEAT, 0, 6
574, ? , DEFEAT, 0, 3
575, ? , DEFEAT, 0, 4
576, ? , DEFEAT, 0, 4
577, ? , DEFEAT, 0, 3
578, ? , DEFEAT, 0, 5
579, ? , DEFEAT, 0, 4
580, ? , DEFEAT, 0, 1
581, ? , DEFEAT, 0, 7
582, ? , DEFEAT, 0, 6
583, ? , DEFEAT, 0, 4
584, ? , DEFEAT, 0, 4
585, ? , DEFEAT, 0, 5
586, ? , DEFEAT, 0, 3
587, ? , DEFEAT, 0, 4
588, ? , DEFEAT, 0, 7
589, ? , DEFEAT, 0, 1
590, ? , DEFEAT, 0, 4
591, ? , DEFEAT, 0, 1
592, ? , DEFEAT, 0, 3
593, ? , DEFEAT, 0, 5
594, ? , DEFEAT, 0, 11
595, ? , DEFEAT, 0, 2
596, ? , DEFEAT, 0, 7
597, ? , DEFEAT, 0, 5
598, ? , DEFEAT, 0, 3
599, ? , DEFEAT, 0, 6
600, ? , DEFEAT, 0, 1
601, ? , DEFEAT, 0, 6
602, ? , DEFEAT, 0, 4
603, ? , DEFEAT, 0, 3
604, ? , DEFEAT, 0, 2
605, ? , DEFEAT, 0, 7
606, ? , DEFEAT, 0, 5
607, ? , DEFEAT, 0, 3
608, ? , DEFEAT, 0, 8
609, ? , DEFEAT, 0, 2
610, ? , DEFEAT, 0, 4
611, ? , DEFEAT, 0, 2
612, ? , DEFEAT, 0, 4
